scan,material,colormap,gt_med,rec_med
LMNO_pristine_03_4um,LMNO,jet,5.375792588857564e-10,5.404774773565268e-10
LMNO_pristine_03_4um,LMNO,viridis,5.375792588857564e-10,5.404774773565268e-10
LMNO_pristine_04_1um,LMNO,copper,4.361403738162295e-10,4.3059960621659537e-10
LMNO_pristine_04_1um,LMNO,hot,4.361403738162295e-10,4.362751232582262e-10
LMNO_pristine_04_1um,LMNO,jet,4.361403738162295e-10,4.362751232582262e-10
LMNO_pristine_04_1um,LMNO,viridis,4.361403738162295e-10,4.362751232582262e-10
LMNO_pristine_05_1um,LMNO,copper,4.4338599458626504e-10,4.4231084416006016e-10
LMNO_pristine_05_1um,LMNO,hot,4.4338599458626504e-10,4.391321149847559e-10
LMNO_pristine_05_1um,LMNO,jet,4.4338599458626504e-10,4.4072147957240804e-10
LMNO_pristine_05_1um,LMNO,viridis,4.4338599458626504e-10,4.4390020874771224e-10
LMNO_pristine_06_1um,LMNO,copper,4.2445386094769333e-10,4.254932640700883e-10
LMNO_pristine_06_1um,LMNO,hot,4.2445386094769333e-10,4.254932640700883e-10
LMNO_pristine_06_1um,LMNO,jet,4.2445386094769333e-10,4.254932640700883e-10
LMNO_pristine_06_1um,LMNO,viridis,4.2445386094769333e-10,4.2290115151607587e-10
LMNO_pristine_07_1um,LMNO,copper,3.891606203954012e-10,3.884695093925523e-10
LMNO_pristine_07_1um,LMNO,hot,3.891606203954012e-10,3.891331195180089e-10
LMNO_pristine_07_1um,LMNO,jet,3.891606203954012e-10,3.8780589926709576e-10
LMNO_pristine_07_1um,LMNO,viridis,3.891606203954012e-10,3.884695093925523e-10
LMNO_pristine_08_4um,LMNO,copper,3.903292689066973e-10,3.8905887539748965e-10
LMNO_pristine_08_4um,LMNO,hot,3.903292689066973e-10,3.9418993853042017e-10
LMNO_pristine_08_4um,LMNO,jet,3.903292689066973e-10,3.8905887539748965e-10
LMNO_pristine_08_4um,LMNO,viridis,3.903292689066973e-10,3.916244069639549e-10
LMNO_pristine_09_1um,LMNO,copper,3.391423808452032e-10,3.38045231825964e-10
LMNO_pristine_09_1um,LMNO,hot,3.391423808452032e-10,3.398655769125049e-10
LMNO_pristine_09_1um,LMNO,jet,3.391423808452032e-10,3.398655769125049e-10
LMNO_pristine_09_1um,LMNO,viridis,3.391423808452032e-10,3.4168592199904584e-10
NCM811_pristine_01_2um,NCM811,copper,2.4713117663388573e-10,2.474004515684798e-10
NCM811_pristine_01_2um,NCM811,hot,2.4713117663388573e-10,2.474004515684798e-10
NCM811_pristine_01_2um,NCM811,jet,2.4713117663388573e-10,2.474004515684798e-10
NCM811_pristine_01_2um,NCM811,viridis,2.4713117663388573e-10,2.450557125141474e-10
NCM811_pristine_02_1um,NCM811,copper,2.45511694307865e-10,2.468415697333333e-10
NCM811_pristine_02_1um,NCM811,hot,2.45511694307865e-10,2.453376851347813e-10
NCM811_pristine_02_1um,NCM811,jet,2.45511694307865e-10,2.468415697333333e-10
NCM811_pristine_02_1um,NCM811,viridis,2.45511694307865e-10,2.438338005362293e-10
NCM811_pristine_03_4um,NCM811,copper,1.1433460428422748e-10,1.1439938695419669e-10
NCM811_pristine_03_4um,NCM811,hot,1.1433460428422748e-10,1.1345056783996102e-10
NCM811_pristine_03_4um,NCM811,jet,1.1433460428422748e-10,1.1534820606843235e-10
NCM811_pristine_03_4um,NCM811,viridis,1.1433460428422748e-10,1.1439938695419669e-10
NCM811_pristine_04_2um,NCM811,copper,1.0526557403522929e-10,1.0472574917830052e-10
NCM811_pristine_04_2um,NCM811,hot,1.0526557403522929e-10,1.0472574917830052e-10
NCM811_pristine_04_2um,NCM811,jet,1.0526557403522929e-10,1.0561105965791044e-10
NCM811_pristine_04_2um,NCM811,viridis,1.0526557403522929e-10,1.0561105965791044e-10
NCM811_pristine_05_4um,NCM811,copper,9.534405209787877e-11,9.475765376602586e-11
NCM811_pristine_05_4um,NCM811,hot,9.534405209787877e-11,9.391878907208656e-11
NCM811_pristine_05_4um,NCM811,jet,9.534405209787877e-11,9.559651845996513e-11
NCM811_pristine_05_4um,NCM811,viridis,9.534405209787877e-11,9.475765376602586e-11
NCM811_pristine_06_2um,NCM811,copper,1.1309125858005586e-10,1.1235826952933653e-10
NCM811_pristine_06_2um,NCM811,hot,1.1309125858005586e-10,1.1235826952933653e-10
NCM811_pristine_06_2um,NCM811,jet,1.1309125858005586e-10,1.1235826952933653e-10
NCM811_pristine_06_2um,NCM811,viridis,1.1309125858005586e-10,1.1235826952933653e-10
NCM811_pristine_07_4um,NCM811,copper,1.0742725459200742e-10,1.0631444401302847e-10
NCM811_pristine_07_4um,NCM811,hot,1.0742725459200742e-10,1.0782706590351618e-10
NCM811_pristine_07_4um,NCM811,jet,1.0742725459200742e-10,1.0681865130985771e-10
NCM811_pristine_07_4um,NCM811,viridis,1.0742725459200742e-10,1.0732285860668694e-10
